data.uri,data.id,data.name,data.albumOfTrack.uri,data.albumOfTrack.name,data.albumOfTrack.coverArt.sources,data.albumOfTrack.id,data.albumOfTrack.sharingInfo.shareUrl,data.artists.items,data.contentRating.label,data.duration.totalMilliseconds,data.playability.playable
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,spotify:album:4yP0hdKOZPNshxUOjY0cZj,After Hours,"[{'url': 'https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640, 'height': 640}]",4yP0hdKOZPNshxUOjY0cZj,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj?si=7a5UjdTySLmjii7jLag0Bg,"[{'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ', 'profile': {'name': 'The Weeknd'}}]",NONE,200040,True
spotify:track:6qYkmqFsXbj8CQjAdbYz07,6qYkmqFsXbj8CQjAdbYz07,Blinding Lights,spotify:album:3sL9Myf7JF1k9TbrXE46ou,Blinding Lights,"[{'url': 'https://i.scdn.co/image/ab67616d00001e02a3eff72f62782fb589a492f9', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a3eff72f62782fb589a492f9', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273a3eff72f62782fb589a492f9', 'width': 640, 'height': 640}]",3sL9Myf7JF1k9TbrXE46ou,https://open.spotify.com/album/3sL9Myf7JF1k9TbrXE46ou?si=X-u54cz5Qv69_OiO3QmlJw,"[{'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ', 'profile': {'name': 'The Weeknd'}}]",NONE,200045,True
spotify:track:02nMYbIiYIzaFA3D3Bkn6W,02nMYbIiYIzaFA3D3Bkn6W,Blinding Lights,spotify:album:5eU8DCQKzpinsnzAAJwlbf,KIDZ BOP 2021,"[{'url': 'https://i.scdn.co/image/ab67616d00001e0230fa390d61b3d1d05aabe1fa', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485130fa390d61b3d1d05aabe1fa', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b27330fa390d61b3d1d05aabe1fa', 'width': 640, 'height': 640}]",5eU8DCQKzpinsnzAAJwlbf,https://open.spotify.com/album/5eU8DCQKzpinsnzAAJwlbf?si=zB1LiRvwQuqtEd5XHFMr9A,"[{'uri': 'spotify:artist:1Vvvx45Apu6dQqwuZQxtgW', 'profile': {'name': 'Kidz Bop Kids'}}]",NONE,179247,True
spotify:track:66aMnwdhkEc1V0AAnyYchX,66aMnwdhkEc1V0AAnyYchX,Blinding Lights,spotify:album:4vh9LW3igRT6NayBnmb8fZ,Blinding Lights,"[{'url': 'https://i.scdn.co/image/ab67616d00001e02823928998239171c2ed2025e', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851823928998239171c2ed2025e', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273823928998239171c2ed2025e', 'width': 640, 'height': 640}]",4vh9LW3igRT6NayBnmb8fZ,https://open.spotify.com/album/4vh9LW3igRT6NayBnmb8fZ?si=kQ1lWIrzSI-VBzoK-aF5QA,"[{'uri': 'spotify:artist:33qOK5uJ8AR2xuQQAhHump', 'profile': {'name': 'Teddy Swims'}}]",NONE,214874,True
spotify:track:0cQJGoRki2avKVodXEmr0d,0cQJGoRki2avKVodXEmr0d,Blinding Lights,spotify:album:6pQZPa398NswBXGYyqHH7y,Blinding Lights,"[{'url': 'https://i.scdn.co/image/ab67616d00001e02d05452b40e91b57aadffd16b', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d05452b40e91b57aadffd16b', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273d05452b40e91b57aadffd16b', 'width': 640, 'height': 640}]",6pQZPa398NswBXGYyqHH7y,https://open.spotify.com/album/6pQZPa398NswBXGYyqHH7y?si=dVwg6j_3R1CN4lHAYMTn5g,"[{'uri': 'spotify:artist:574qIjE9UTvfSvtnIrdLaE', 'profile': {'name': 'Loi'}}]",NONE,147368,True
spotify:track:6cRJTmba0JHDquftAkxUgG,6cRJTmba0JHDquftAkxUgG,Blinding Lights - Country Version,spotify:album:2xdFoFzJDYziRnia2PBEgt,Blinding Lights (Country Version),"[{'url': 'https://i.scdn.co/image/ab67616d00001e0230a7da693427ed4c700b9734', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485130a7da693427ed4c700b9734', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b27330a7da693427ed4c700b9734', 'width': 640, 'height': 640}]",2xdFoFzJDYziRnia2PBEgt,https://open.spotify.com/album/2xdFoFzJDYziRnia2PBEgt?si=EacCpK0tR_2_QhCIYYrnvQ,"[{'uri': 'spotify:artist:2S0WpGRnEPyS5OuMp3KOEo', 'profile': {'name': 'Tebey'}}]",NONE,186008,True
spotify:track:4GqSoO1jcDFkdpmVjDdmMX,4GqSoO1jcDFkdpmVjDdmMX,Blinding Lights - Dance Along,spotify:album:28uxwfCR6B10v1dezwqPjJ,Blinding Lights (Dance Along),"[{'url': 'https://i.scdn.co/image/ab6742d3000053b702822bfaad96c01b24143389', 'width': 1280, 'height': 720}, {'url': 'https://i.scdn.co/image/ab6742d3000052b702822bfaad96c01b24143389', 'width': 640, 'height': 360}, {'url': 'https://i.scdn.co/image/ab6742d3000053b702822bfaad96c01b24143389', 'width': 1280, 'height': 720}]",28uxwfCR6B10v1dezwqPjJ,https://open.spotify.com/album/28uxwfCR6B10v1dezwqPjJ?si=bQDOFNF7RzmAoY6ffRW_HQ,"[{'uri': 'spotify:artist:1Vvvx45Apu6dQqwuZQxtgW', 'profile': {'name': 'Kidz Bop Kids'}}]",NONE,177802,True
spotify:track:1qamHJNKVZUon2hW7kjFc1,1qamHJNKVZUon2hW7kjFc1,Blinding Lights,spotify:album:0ujUpcRjoMRt06Rx1kOGuu,KIDZ BOP Ultimate Playlist,"[{'url': 'https://i.scdn.co/image/ab67616d00001e02574a45867247f293dd7e1931', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851574a45867247f293dd7e1931', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273574a45867247f293dd7e1931', 'width': 640, 'height': 640}]",0ujUpcRjoMRt06Rx1kOGuu,https://open.spotify.com/album/0ujUpcRjoMRt06Rx1kOGuu?si=MxFdc97oQH-OhICN6HxvWA,"[{'uri': 'spotify:artist:1Vvvx45Apu6dQqwuZQxtgW', 'profile': {'name': 'Kidz Bop Kids'}}]",NONE,179199,True
spotify:track:0NOFXR7Nhsa3F46aMDT6MQ,0NOFXR7Nhsa3F46aMDT6MQ,Blinding Lights - VSQ x L.A. Contemporary Dance Company Perform The Weeknd,spotify:album:5SNpYOhaj5TYb8Z1SDeGcg,Blinding Lights - VSQ x L.A. Contemporary Dance Company Perform The Weeknd,"[{'url': 'https://i.scdn.co/image/ab6742d3000053b7fdfca50632639616ee65a978', 'width': 1280, 'height': 720}, {'url': 'https://i.scdn.co/image/ab6742d3000052b7fdfca50632639616ee65a978', 'width': 640, 'height': 360}, {'url': 'https://i.scdn.co/image/ab6742d3000053b7fdfca50632639616ee65a978', 'width': 1280, 'height': 720}]",5SNpYOhaj5TYb8Z1SDeGcg,https://open.spotify.com/album/5SNpYOhaj5TYb8Z1SDeGcg?si=lf0x3MlJToKACeqrTQJ9lQ,"[{'uri': 'spotify:artist:6MERXsiRbur2oJZFgYRDKz', 'profile': {'name': 'Vitamin String Quartet'}}]",NONE,204468,True
spotify:track:11kBYQLK1nRu77O9vr6VLK,11kBYQLK1nRu77O9vr6VLK,Blinding Lights,spotify:album:1Ndq2BEGValdiOgBCIdNSj,EA SPORTS College Football 26: Halftime (Original Soundtrack),"[{'url': 'https://i.scdn.co/image/ab67616d00001e028a200c82dc5caec9667beffd', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518a200c82dc5caec9667beffd', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2738a200c82dc5caec9667beffd', 'width': 640, 'height': 640}]",1Ndq2BEGValdiOgBCIdNSj,https://open.spotify.com/album/1Ndq2BEGValdiOgBCIdNSj?si=qTye_YCdQAi0xV8EEtg2QQ,"[{'uri': 'spotify:artist:0hZ1jmEoF08h7XptEKbWoT', 'profile': {'name': 'EA SPORTS College Football Marching Band'}}]",NONE,134490,True
